,fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,wheels_off,wheels_on,crs_arr_time,arr_time,cancelled,cancellation_code,diverted,dup,first_dep_time
count,730.0,11.0,16.0,11.0,7226.0,28.0,6488.0,7252.0,376.0,376.0,368.0,376.0,376.0,368.0,1412.0,1441.0,1441.0,1441.0,1437.0,1441.0,2.0,7.0,2.0,1.0,2355.0
mean,21818.472602739726,1447953.1818181819,995467.8125,1447953.1818181819,2204.1911154165514,568838.75,2447.3205918618987,2196.28861003861,42360.33244680851,42360.33244680851,43281.20923913043,42360.33244680851,42360.33244680851,43281.20923913043,11280.08852691218,10873.470506592645,10863.442748091604,10857.961832061068,11083.84481558803,10862.18320610687,7963742.5,124345.42857142857,7963742.5,15927485.0,300.104033970276
standard_deviation,1931.4334342775944,1566409.373531825,905577.2338257494,1566409.373531825,1234.8353953356086,680744.1062550121,1187.2396100431679,1239.495766288108,102307.7408650254,102307.7408650254,111427.40037533718,102305.19723519354,102305.19723519354,111423.31210048063,20154.770803044874,6802.057584177733,6472.17261261233,5918.103633420364,9673.078915403146,5933.758967389801,10881715.046047682,216633.59192105697,11205950.375279399,,12317.869693071667
variance,3730435.111045343,2453638325488.3643,820070126423.4958,2453638325488.3643,1524818.4535736486,463412538200.9352,1409537.8916554535,1536349.7546461436,10466873840.905186,10466873840.905186,12416065554.405691,10466353381.331852,10466353381.331852,12415154479.441114,406214786.12327015,46267987.37846982,41889018.32744911,35023950.61590331,93568455.7036169,35209495.48307888,118411722343380.5,46930113148.61904,125573323813224.5,,151729913.7754935
range,11416.0,4121425.0,2696942.0,4121425.0,6781.0,2712302.0,6868.0,6781.0,790251.0,790251.0,962030.0,790127.0,790127.0,961886.0,332786.0,42755.0,27050.0,17000.0,47492.0,17202.0,15389069.0,601210.0,15847607.0,0.0,597807.0
minimum,13323.0,17566.0,17021.0,17566.0,1.0,1661.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,269208.0,0.0,39939.0,15927485.0,0.0
Q1/25%,21119.0,228426.0,241907.0,228426.0,1480.0,167903.25,1906.0,1467.0,2015.25,2015.25,2015.25,2015.75,2015.75,2015.75,1757.0,3469.0,3517.0,4954.0,3484.0,4910.0,4116475.25,33.0,4001840.75,15927485.0,3.0
median/Q2/50%,22354.5,600928.0,555667.0,600928.0,2156.0,295682.0,2474.5,2152.0,6524.0,6524.0,6382.5,6524.0,6524.0,6383.0,5480.5,13856.0,14427.0,14386.0,10293.0,14487.0,7963742.5,56484.0,7963742.5,15927485.0,10.0
Q3/75%,23207.75,2903479.0,1850349.0,2903479.0,3003.75,606288.5,3351.0,2999.25,24384.25,24384.25,24015.5,24388.25,24388.25,24023.75,7268.75,15516.0,15587.0,15408.0,12588.0,15423.0,11811009.75,106329.0,11925644.25,15927485.0,95.0
maximum,24739.0,4138991.0,2713963.0,4138991.0,6782.0,2713963.0,6868.0,6782.0,790253.0,790253.0,962032.0,790129.0,790129.0,961888.0,332787.0,42755.0,27050.0,17000.0,47494.0,17202.0,15658277.0,601210.0,15887546.0,15927485.0,597807.0
interquartile_range (IQR),2088.75,2675053.0,1608442.0,2675053.0,1523.75,438385.25,1445.0,1532.25,22369.0,22369.0,22000.25,22372.5,22372.5,22008.0,5511.75,12047.0,12070.0,10454.0,9104.0,10513.0,7694534.5,106296.0,7923803.5,0.0,92.0
skewness,-0.8325848373761245,1.6222295323253302,1.4569739479050094,1.6222295323253302,0.11707904292001722,1.2037860371765305,-0.06867882752946486,0.10719345215169256,1.0508393248782821,1.0508393248782821,0.9934372276883188,1.0508654520578145,1.0508654520578145,0.9934602160952439,0.8632579229384257,-1.315423806619199,-1.651790271305846,-1.7884300714247066,0.24527190024120785,-1.8326410697573288,0.0,0.9397632375890874,0.0,,0.07065443324184095
