aircraft_type,frequency,relative_frequency
614,212132,0.0902498492871933
694,174144,0.0740881609293694
612,136620,0.05812387763098613
698,127795,0.054369352524168295
629,97513,0.04148611974403711
673,94918,0.040382097913760365
416,93316,0.03970053992836409
631,92995,0.03956397306612176
622,91439,0.03890198540989416
675,82337,0.035029612886125785
638,79591,0.03386134932314315
35,64253,0.027335920871202984
626,60669,0.02581113696379957
655,56111,0.023871972608346236
699,48761,0.02074497436074158
888,42663,0.01815062942007584
619,34165,0.014535223827131028
634,31297,0.013315056347657539
691,30580,0.013010014477789166
677,30506,0.012978531774343894
194,30327,0.012902377667361414
617,29830,0.012690933023951956
819,27399,0.011656683671580946
627,26932,0.011458002286324978
696,22824,0.009710286803173967
608,22332,0.009500969369456757
678,21473,0.00913551474432854
405,21003,0.008935557033257222
740,19036,0.008098712740326834
479,19030,0.008096160088696135
722,16319,0.006942786993559234
415,15195,0.006464590254741869
625,14781,0.0062884572922237295
412,14735,0.006268886963055048
820,14088,0.005993626028878148
637,13920,0.005922151783218613
656,13895,0.005911515734757373
40,12109,0.005151676432686364
676,10936,0.004652633038884968
889,10898,0.0046364662452238825
887,10756,0.004576053489964037
482,9594,0.004081689957485587
838,9255,0.003937465140351168
687,9104,0.0038732234076452768
623,8637,0.0036745420223893072
730,8400,0.003573712282976749
821,8315,0.0035375497182085322
456,7932,0.0033746054557823304
715,7720,0.0032844117648310124
483,7493,0.00318783644480295
683,7452,0.0031703933253265162
26,7352,0.0031278491314815546
79,7275,0.0030950901022209344
635,7227,0.003074668889175353
624,6571,0.002795578977552407
110,6196,0.002636038250633802
732,6131,0.002608384524634577
406,6030,0.0025654148888511665
125,5820,0.0024760720817767474
674,5258,0.0022369737123680653
640,5035,0.0021421001600938016
620,4840,0.002059138982096127
688,4610,0.0019612873362527157
484,4240,0.0018038738190263592
788,4092,0.0017409084121358164
131,3991,0.0016979387763524055
36,3984,0.0016949606827832582
515,3914,0.0016651797470917853
681,3497,0.0014877704587582966
882,3496,0.001487345016819847
669,3299,0.0014035329549452733
441,3294,0.0014014057452530252
685,3198,0.0013605633191618623
218,3009,0.0012801547927948854
692,2718,0.001156351188706048
42,2703,0.0011499695596293039
556,2603,0.0011074253657843427
775,2561,0.0010895568043694588
721,2486,0.001057648658985738
874,2302,0.000979367342311009
684,2266,0.000964051432526823
491,2144,0.0009121475160359702
633,2104,0.0008951298384979857
575,2007,0.0008538619704683733
628,1932,0.0008219538250846523
10,1831,0.0007789841893012414
485,1829,0.0007781333054243421
442,1806,0.0007683481408400011
609,1784,0.0007589884181941096
417,1704,0.0007249530631181406
33,1703,0.0007245276211796909
461,1689,0.0007185714340413963
871,1678,0.0007138915727184506
658,1664,0.000707935385580156
641,1657,0.0007049572920110088
646,1634,0.0006951721274266676
616,1585,0.0006743254724426366
458,1567,0.0006666675175505436
873,1517,0.0006453954206280629
651,1424,0.0006058293203522489
359,1410,0.0005998731332139543
817,1330,0.0005658377781379853
648,1221,0.0005194646068469775
667,1163,0.0004947889744168999
682,1077,0.0004582009677102332
459,1065,0.00045309566444883784
750,1020,0.00043395077721860523
671,931,0.0003960864446965897
770,914,0.0003888539317429463
657,905,0.0003850249542968998
880,899,0.00038247230266620207
487,881,0.00037481434777410905
632,858,0.00036502918318976794
430,855,0.00036375285737441914
686,854,0.0003633274154359695
690,728,0.00030972173119131827
30,714,0.00030376554405302366
642,695,0.000295682147222481
432,653,0.0002778135858075973
652,621,0.00026419944377720965
143,614,0.0002612213502080624
668,599,0.0002548397211313182
839,567,0.00024122557910093056
644,548,0.00023314218227038792
723,532,0.0002263351112551941
636,511,0.00021740083054775224
91,508,0.0002161245047324034
663,495,0.00021059375953255842
469,491,0.00020889199177875998
693,457,0.00019442696587147315
872,424,0.0001803873819026359
697,387,0.00016464603018000022
818,377,0.0001603916107955041
714,361,0.0001535845397803103
117,354,0.000150606446211163
647,353,0.00015018100427271339
471,340,0.00014465025907286843
837,321,0.00013656686224232576
393,310,0.00013188700091938002
665,276,0.00011742197501209318
34,273,0.00011614564919674434
822,267,0.00011359299756604667
366,255,0.00010848769430465131
364,247,0.00010508415879705442
404,247,0.00010508415879705442
621,236,0.00010040429747410867
650,233,9.912797165875983e-05
133,204,8.679015544372105e-05
403,203,8.636471350527144e-05
489,193,8.211029412077531e-05
362,192,8.16848521823257e-05
31,189,8.040852636697685e-05
410,183,7.785587473627918e-05
413,182,7.743043279782957e-05
603,181,7.700499085937995e-05
507,165,7.019791984418615e-05
390,147,6.253996495209312e-05
725,145,6.168908107519388e-05
150,139,5.9136429444496204e-05
121,133,5.658377781379853e-05
495,121,5.147847455240317e-05
824,120,5.105303261395356e-05
530,119,5.0627590675503946e-05
653,117,4.977670679860472e-05
360,114,4.850038098325588e-05
368,113,4.807493904480627e-05
836,102,4.3395077721860523e-05
877,101,4.296963578341091e-05
643,101,4.296963578341091e-05
345,95,4.0416984152713236e-05
355,95,4.0416984152713236e-05
659,88,3.743889058356594e-05
774,88,3.743889058356594e-05
639,83,3.531168089131788e-05
771,71,3.0206377629922522e-05
448,70,2.978093569147291e-05
425,67,2.850460987612407e-05
409,62,2.6377400183876005e-05
340,53,2.2548422737829488e-05
457,48,2.0421213045581424e-05
431,40,1.701767753798452e-05
370,36,1.531590978418607e-05
339,32,1.3614142030387616e-05
195,26,1.1061490399689938e-05
434,17,7.232512953643421e-06
710,16,6.807071015193808e-06
455,15,6.381629076744195e-06
325,14,5.956187138294582e-06
755,13,5.530745199844969e-06
317,12,5.105303261395356e-06
80,9,3.828977446046517e-06
833,9,3.828977446046517e-06
449,4,1.701767753798452e-06
890,4,1.701767753798452e-06
745,2,8.50883876899226e-07
844,2,8.50883876899226e-07
689,1,4.25441938449613e-07
618,1,4.25441938449613e-07
660,1,4.25441938449613e-07
