,departures_scheduled,departures_performed,payload,seats,passengers,freight,mail,distance,ramp_to_ramp,air_time
null_count,0,0,0,0,0,0,0,0,0,0
count,2350497,2350497,2350497,2350497,2350497,2350497,2350497,2350497,2350497,2350497
mean,20.3285590239000518,22.7209356148933609,849611.081412143900,2569.2757233895639943,2097.1783758924176461,102955.482807253104,2901.7652585814829800,1042.5121989094221350,2890.1717262349196787,2400.2816765986087198
standard_deviation,38.4231034793907558,36.0178061074068063,1514312.1904,4814.855731667765,4026.721812617163,542741.78618751,25233.51633223,1252.013689619618,5311.265712362664,4590.901828384791
variance,1476.3348809879700028,1297.2823567907510377,2293141410129.3938,23182835.716773930110,16214488.556206852866,294568646474.00941481,636730346.48873953,1567538.278994928973,28209543.467319271798,21076379.597866815171
range,2361,1311,152460000,110336,95777,131663968,8163150,10327,895725,214104
min,0,0,0,0,0,0,0,0,0,0
q1,0.0,1.0,38879.0,50.0,11.0,0.0,0.0,284.0,114.0,90.0
median,4.0,9.0,252000.0,496.0,354.0,0.0,0.0,661.0,667.0,537.0
q3,28.0,30.0,1060169.0,3380.0,2661.0,3528.0,0.0,1234.0,3675.0,2892.0
max,2361,1311,152460000,110336,95777,131663968,8163150,10327,895725,214104
interquartile_range (IQR),28.0,29.0,1021290.0,3330.0,2650.0,3528.0,0.0,950.0,3561.0,2802.0
skewness,1.2749016252155403,1.1428460334849555,1.183925782016495,1.2917992805600167,1.2987078251324053,0.5690854404106083,0.3449894046128419,0.9141566152331729,1.2557299031717792,1.2175919326426747
